Price Period,Town,Super,Diesel,Kerosene
15th April 2023 - 14th May2023,Mombasa,176.98,159.76,143.69
15th April 2023 - 14th May2023,Kilifi,177.69,160.47,144.41
15th April 2023 - 14th May2023,Likoni Mainland,177.34,160.11,144.05
15th April 2023 - 14th May2023,Kwale,177.34,160.11,144.05
15th April 2023 - 14th May2023,Lungalunga,178.05,160.83,144.76
15th April 2023 - 14th May2023,Voi,178.46,161.24,145.17
15th April 2023 - 14th May2023,Taveta,179.86,162.64,146.58
15th April 2023 - 14th May2023,Lamu,180.27,163.06,147
15th April 2023 - 14th May2023,Hola,180.57,163.34,147.28
15th April 2023 - 14th May2023,Mpeketoni,180.27,163.06,147
15th April 2023 - 14th May2023,Minjila,179.25,162.02,145.96
15th April 2023 - 14th May2023,Garsen,179.33,162.11,146.05
15th April 2023 - 14th May2023,Samburu,177.28,160.06,144
15th April 2023 - 14th May2023,Taru,177.46,160.24,144.18
15th April 2023 - 14th May2023,Mwatate,178.79,161.57,145.51
15th April 2023 - 14th May2023,Wundanyi,178.96,161.74,145.68
15th April 2023 - 14th May2023,Kaloleni,177.13,159.92,143.85
15th April 2023 - 14th May2023,Marereni,178.56,161.34,145.27
15th April 2023 - 14th May2023,Nairobi,179.3,162,145.94
15th April 2023 - 14th May2023,Thika,179.31,162.01,145.94
15th April 2023 - 14th May2023,Machakos,179.54,162.24,146.18
15th April 2023 - 14th May2023,Kajiado,179.72,162.42,146.36
15th April 2023 - 14th May2023,Makuyu,179.59,162.29,146.23
15th April 2023 - 14th May2023,Muranga,179.82,162.52,146.46
15th April 2023 - 14th May2023,Sagana,180.05,162.75,146.68
15th April 2023 - 14th May2023,Embu,180.4,163.1,147.04
15th April 2023 - 14th May2023,Kerugoya,180.33,163.03,146.97
15th April 2023 - 14th May2023,Narok,180.69,163.4,147.33
15th April 2023 - 14th May2023,Nyeri,180.67,163.37,147.31
15th April 2023 - 14th May2023,Namanga,180.85,163.55,147.48
15th April 2023 - 14th May2023,Kiganjo,180.64,163.34,147.28
15th April 2023 - 14th May2023,Chuka,180.93,163.63,147.57
15th April 2023 - 14th May2023,Kitui,180.84,163.54,147.47
15th April 2023 - 14th May2023,Mwingi,181.22,163.93,147.86
15th April 2023 - 14th May2023,Nanyuki,181.23,163.94,147.87
15th April 2023 - 14th May2023,Nkubu,182.21,164.91,148.84
15th April 2023 - 14th May2023,Mtito Andei,181.74,164.44,148.38
15th April 2023 - 14th May2023,Meru,182.4,165.1,149.04
15th April 2023 - 14th May2023,Isiolo,182.26,164.96,148.89
15th April 2023 - 14th May2023,Maua,182.85,165.56,149.49
15th April 2023 - 14th May2023,Garissa,183.47,166.17,150.11
15th April 2023 - 14th May2023,Marsabit,187.15,169.85,153.79
15th April 2023 - 14th May2023,Liboi,186.24,168.94,152.87
15th April 2023 - 14th May2023,Moyale,188.74,171.44,155.37
15th April 2023 - 14th May2023,Sololo,187.79,170.49,154.43
15th April 2023 - 14th May2023,Habaswein,186.16,168.86,152.8
15th April 2023 - 14th May2023,Dadaab,184.85,167.55,151.49
15th April 2023 - 14th May2023,Tarbaj,188.42,171.12,155.04
15th April 2023 - 14th May2023,Elwak,190.02,172.72,156.65
15th April 2023 - 14th May2023,Wajir,188.57,171.27,155.21
15th April 2023 - 14th May2023,Modogashe,186.3,169,152.94
15th April 2023 - 14th May2023,Mandera,192.35,175.05,158.98
15th April 2023 - 14th May2023,Matuu,180.2,162.9,146.84
15th April 2023 - 14th May2023,Merti,184.65,167.35,151.29
15th April 2023 - 14th May2023,Oldonyiro,181.67,164.36,148.29
15th April 2023 - 14th May2023,Eldas,190.34,173.04,156.98
15th April 2023 - 14th May2023,Bute,187.38,170.08,154.02
15th April 2023 - 14th May2023,Hadado,185.97,168.67,152.6
15th April 2023 - 14th May2023,Mai Mahiu,179.42,162.12,146.06
15th April 2023 - 14th May2023,Doldo,182,164.7,148.63
15th April 2023 - 14th May2023,Lamuria,181.12,163.82,147.75
15th April 2023 - 14th May2023,Sipili,181.98,164.68,148.62
15th April 2023 - 14th May2023,Marimanti,181.61,164.31,148.25
15th April 2023 - 14th May2023,Mutuobare,180.95,163.65,147.58
15th April 2023 - 14th May2023,North Horr,188.11,170.82,154.75
15th April 2023 - 14th May2023,Maikona,186.73,169.43,153.37
15th April 2023 - 14th May2023,Kalacha,187.27,169.97,153.91
15th April 2023 - 14th May2023,Loyangalani,187.34,170.04,153.97
15th April 2023 - 14th May2023,Turbi,187.14,169.84,153.78
15th April 2023 - 14th May2023,Laisamis,184.36,167.06,150.98
